Species,Region,file,num_seqs_Raw,num_seqs_Trimmed,sum_len_Raw,sum_len_Trimmed
Aipysurus laevis,Pilbara,ALA-SS170816-01-2892493,1485738,1336415,205031844,107406369
Aipysurus laevis,Pilbara,ALA-SS170816-01-2562206,1345731,1236847,185710878,104401944
Aipysurus laevis,Pilbara,ALA-SS170809-03-2892475,1446223,1266587,199578774,103721151
Aipysurus laevis,Pilbara,ALA-SS170815-04-2892440,1444808,1276249,199383504,103681406
Aipysurus laevis,Pilbara,ALA-SS171105-01-2892472,1440653,1285818,198810114,103447885
Aipysurus laevis,Pilbara,ALA-SS171106-03-2892404,1421054,1310908,196105452,103340045
Aipysurus laevis,Pilbara,ALA-SS170808-06-2892529,1522612,1348804,210120456,102844295
Aipysurus laevis,Pilbara,ALA-SS171011-02-2892425,1288338,1210175,177790644,101963723
Aipysurus laevis,Pilbara,ALA-SS170813-01-2892422,1437326,1241987,198350988,101792117
Aipysurus laevis,Pilbara,ALA-SS171104-01-2892432,1335633,1223781,184317354,101597513
Aipysurus laevis,Pilbara,ALA-SS170810-01-2892386,1390089,1258912,191832282,101180287
Aipysurus laevis,Pilbara,ALA-SS170815-01-2892435,1348796,1223305,186133848,101011500
Aipysurus laevis,Pilbara,ALA-SS171018-02-2892517,1453366,1289131,200564508,100115277
Aipysurus laevis,Pilbara,ALA-SS170810-01-2892576,1182585,1120492,163196730,98525404
Aipysurus laevis,Pilbara,ALA-SS171106-02-2892479,1353398,1214599,186768924,97585126
Aipysurus laevis,Pilbara,ALA-SS171025-02-2892393,1339784,1197611,184890192,97509187
Aipysurus laevis,Pilbara,ALA-SS170809-01-2892375,1384732,1184063,191093016,92276653
Aipysurus laevis,Pilbara,ALA-SS170809-01-2892565,1123123,1051797,154990974,91488104
Aipysurus laevis,Pilbara,ALA-SS170808-01-2562218,1439446,1255248,198643548,90378752
Aipysurus laevis,Pilbara,ALA-SS171025-01-2892506,1264821,1149043,174545298,90068440
Aipysurus laevis,Pilbara,ALA-SS170816-01-2892588,1096755,1030485,151352190,89850807
Aipysurus laevis,Pilbara,ALA-SS170816-01-2584000,1277042,1129090,176231796,87570132
Aipysurus laevis,Pilbara,ALA-KLS0564-R174540-2892568,908522,868114,125376036,81049862
Aipysurus laevis,Pilbara,ALA-SS170820-01-2562217,978377,889753,135016026,64940174
Aipysurus laevis,Scott Reef,ALA-KLS0327-2892561,1376652,1230268,189977976,96938209
Aipysurus laevis,Scott Reef,ALA-KLS0339-2571096,753062,652427,103922556,49982107
Aipysurus laevis,Townsville,ALA-Al379-3991430,1602747,1436061,95526540,89068284
Aipysurus laevis,Townsville,ALA-Al378-3991429,1530545,1357639,89015923,82575958
Aipysurus laevis,Townsville,ALA-Al377-3991428,1679620,1436273,88159609,79868531
Aipysurus laevis,Townsville,ALA-Al376-3991427,1305157,1182389,84617157,79435835
Aipysurus laevis,NA,ALA-UAE275-2892543,1443331,1137588,199179678,90956892
Aipysurus laevis/tenuis hybrid,Den Blå Plantet,ALA-HybJ01-2892539,1448723,1292293,199923774,105249532
Aipysurus laevis/tenuis hybrid,Den Blå Plantet,ALA-HybJ03-2892503,1458168,1227385,201227184,88687278
Aipysurus pooleorum,Exmouth Gulf,APO-KLS1002-2562146,1332412,1198768,183872856,98661385
Aipysurus pooleorum,Exmouth Gulf,APO-KLS1002-2584015,1012671,931314,139748598,77166571
Aipysurus pooleorum,Shark Bay,APO-BD320-2892516,1551140,1383862,214057320,107505912
Aipysurus pooleorum,Shark Bay,APO-BD337-2892483,1511137,1346571,208536906,107327075
Aipysurus pooleorum,Shark Bay,APO-BD342-2892423,1402464,1268327,193540032,101287866
Aipysurus pooleorum,Shark Bay,APO-BD325-2892538,1510822,1323341,208493436,100113651
Aipysurus pooleorum,Shark Bay,APO-BD339-2892520,1469040,1272315,202727520,98287268
Aipysurus pooleorum,Shark Bay,APO-BD330-2892535,1437426,1234845,198364788,96937783
Aipysurus pooleorum,Shark Bay,APO-BD304-2892582,1169889,1082863,161444682,95167882
Aipysurus pooleorum,Shark Bay,APO-BD326-2892550,1493634,1256827,206121492,94972383
Aipysurus pooleorum,Shark Bay,APO-BD338-2892540,1402048,1235544,193482624,94180039
Aipysurus pooleorum,Shark Bay,APO-BD304-2892487,1352700,1202053,186672600,91288077
Aipysurus pooleorum,Shark Bay,APO-BD326-2894761,1315220,1153798,181500360,90172812
Aipysurus pooleorum,Shark Bay,APO-BD331-2892519,1293387,1153410,178487406,84858520
Aipysurus tenuis,Broome,ATE-HybFa01-2892515,1643842,1380324,226850196,90558635
Aipysurus tenuis,Broome,ATE-HybFa01-2894752,1107030,1003476,152770140,75310895
Aipysurus tenuis,Pilbara,ATE-SS171020-04-2562233,1217153,1057955,167967114,85460292
Aipysurus tenuis,Pilbara,ATE-SS171020-04-2584017,1211539,1046853,167192382,81992118
Aipysurus tenuis,NA,ATE-KLS1242-3593371,2218770,2086281,183150446,174567835
Aipysurus tenuis,NA,ATE-KLS1242-3593443,2179089,2048567,177111521,168785614
Aipysurus tenuis,NA,ATE-KLS1283-3446947,1327291,1235953,98760163,92570663
Hydrophis major,Broome,HMA-KLS0633-2117719,1944707,1742275,161410681,97771164
Hydrophis major,Broome,HMA-KLS0676-2117735,1616565,1448388,134174895,84812178
Hydrophis major,Broome,HMA-KLS1017-2117720,1557190,1358484,129246770,78728758
Hydrophis major,Broome,HMA-KLS0762-2117712,1466120,1219294,121687960,66736474
Hydrophis major,Broome,HMA-KLS1020-2117696,1408041,1170570,116867403,66320852
Hydrophis major,Broome,HMA-KLS0652-2117715,1334202,1163839,110738766,65931544
Hydrophis major,Broome,HMA-KLS0631-2117697,1296995,1089321,107650585,60755500
Hydrophis major,Broome,HMA-KLS0629-2117699,1282172,1073848,106420276,59000980
Hydrophis major,Broome,HMA-KLS1016-2117701,1191345,1047903,98881635,58884765
Hydrophis major,Broome,HMA-KLS0647-2117698,1269090,1070690,105334470,58320470
Hydrophis major,Broome,HMA-KLS0630-2117717,1191508,1024767,98895164,57967261
Hydrophis major,Broome,HMA-KLS0662-2117700,1163173,943918,96543359,52193772
Hydrophis major,Dampier Peninsula,HMA-KLS1416-3593319,2382531,2197869,190238266,181751654
Hydrophis major,Dampier Peninsula,HMA-KLS1421-3593374,2286300,2122471,183850204,176101958
Hydrophis major,Dampier Peninsula,HMA-KLS1379-3593334,2282693,2122484,181791166,174153738
Hydrophis major,Dampier Peninsula,HMA-VU46-2117754,1127367,933753,93571461,48928565
Hydrophis major,Eighty Mile Beach,HMA-VU61-2117705,1494160,1265691,124015280,71671571
