file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ALA-VU132-2562114.fastq.gz	FASTQ	DNA	1227245	94313394	25	76.8	123
ALA-VU15-2892510.fastq.gz	FASTQ	DNA	1249791	101844277	25	81.5	123
ALA-VU20-2892394.fastq.gz	FASTQ	DNA	1183610	98350244	25	83.1	123
ALA-VU21-2892380.fastq.gz	FASTQ	DNA	1256311	106043802	25	84.4	123
ALA-VU21-2892570.fastq.gz	FASTQ	DNA	1061697	91768593	25	86.4	123
ALA-VU33-2892383.fastq.gz	FASTQ	DNA	1208013	98934681	25	81.9	123
ALA-VU33-2892573.fastq.gz	FASTQ	DNA	1058955	93585397	25	88.4	123
ALA-VU37-2892482.fastq.gz	FASTQ	DNA	1375250	109188763	25	79.4	123
ALA-VU47-2892477.fastq.gz	FASTQ	DNA	1331193	109657513	25	82.4	123
ALA-VU50-2892527.fastq.gz	FASTQ	DNA	1135416	90317423	25	79.5	123
ALA-VU51-2892500.fastq.gz	FASTQ	DNA	1308859	106770630	25	81.6	123
ALA-VU53-2892376.fastq.gz	FASTQ	DNA	1191606	96736897	25	81.2	123
ALA-VU53-2892566.fastq.gz	FASTQ	DNA	970608	83909985	25	86.5	123
ALA-VU62-2892417.fastq.gz	FASTQ	DNA	1248022	99641057	25	79.8	123
APO-BD304-2892487.fastq.gz	FASTQ	DNA	1202053	91288077	25	75.9	123
APO-BD304-2892582.fastq.gz	FASTQ	DNA	1082863	95167882	25	87.9	123
APO-BD320-2892516.fastq.gz	FASTQ	DNA	1383862	107505912	25	77.7	123
APO-BD325-2892538.fastq.gz	FASTQ	DNA	1323341	100113651	25	75.7	123
APO-BD326-2892550.fastq.gz	FASTQ	DNA	1256827	94972383	25	75.6	123
APO-BD326-2894761.fastq.gz	FASTQ	DNA	1153798	90172812	25	78.2	123
APO-BD330-2892535.fastq.gz	FASTQ	DNA	1234845	96937783	25	78.5	123
APO-BD331-2892519.fastq.gz	FASTQ	DNA	1153410	84858520	25	73.6	123
APO-BD337-2892483.fastq.gz	FASTQ	DNA	1346571	107327075	25	79.7	123
APO-BD338-2892540.fastq.gz	FASTQ	DNA	1235544	94180039	25	76.2	123
APO-BD339-2892520.fastq.gz	FASTQ	DNA	1272315	98287268	25	77.3	123
APO-BD342-2892423.fastq.gz	FASTQ	DNA	1268327	101287866	25	79.9	123
APO-KLS1002-2562146.fastq.gz	FASTQ	DNA	1198768	98661385	25	82.3	123
APO-KLS1002-2584015.fastq.gz	FASTQ	DNA	931314	77166571	25	82.9	123
ATE-HybFa01-2892515.fastq.gz	FASTQ	DNA	1380324	90558635	25	65.6	123
ATE-HybFa01-2894752.fastq.gz	FASTQ	DNA	1003476	75310895	25	75.1	123
ATE-KLS1242-3593371.fastq.gz	FASTQ	DNA	2086281	174567835	25	83.7	126
ATE-KLS1242-3593443.fastq.gz	FASTQ	DNA	2048567	168785614	25	82.4	124
