Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Aipysurus laevis,Exmouth Gulf,ALA-KLS0797-2892471,1361080,187829040,1204328,96994057,997447,630391,367056,87664,27613,0.002071,0.002601,27383,26000
Aipysurus laevis,Exmouth Gulf,ALA-KLS0857-2892463,1415160,195292080,1261576,103256162,1056559,617460,439099,87207,28438,0.001872,0.00271,28209,26682
Aipysurus laevis,Exmouth Gulf,ALA-KLS0871-2892523,1497578,206665764,1231918,85145808,914823,644462,270361,65499,25464,0.002325,0.002952,25248,23640
Aipysurus laevis,Exmouth Gulf,ALA-KLS0872-2892526,1407004,194166552,1208273,92937232,973844,703759,270085,72056,27526,0.002171,0.0025,27288,25710
Aipysurus laevis,Broome,ALA-KLS1140-2892558,1336014,184369932,1195507,103134168,1028581,668582,359999,94379,27364,0.002275,0.002461,27122,25430
Aipysurus laevis,Broome,ALA-KLS1161-2892441,1360761,187785018,1226134,99328701,1016449,675774,340675,89583,28693,0.002088,0.002521,28434,26985
Aipysurus laevis,Broome,ALA-KLS1162-2892512,1517706,209443428,1335482,107499873,1100100,764447,335653,94016,31484,0.002255,0.002602,31251,29682
Aipysurus laevis,Broome,ALA-KLS1163-2892427,1474455,203474790,1310735,108955575,1113906,758554,355352,95507,31798,0.002129,0.002677,31516,30023
Aipysurus laevis,Broome,ALA-KLS1165-2892485,1403104,193628352,1269899,104637300,1063794,723308,340486,87554,29418,0.002114,0.002697,29179,27676
Aipysurus laevis,Broome,ALA-KLS1166-2892541,1390397,191874786,1238395,96769973,997800,646785,351015,80185,26938,0.002117,0.002542,26721,25230
Aipysurus laevis,Broome,ALA-KLS1167-2892484,1321949,182428962,1185498,98107760,991970,655921,336049,92553,28914,0.002054,0.002344,28696,27290
Aipysurus laevis,Broome,ALA-KLS1168-2892413,1598087,220536006,1427030,116193911,1176254,741772,434482,87021,29616,0.002288,0.002695,29365,27745
Aipysurus laevis,Broome,ALA-KLS1169-2892448,1414967,195265446,1255608,98448171,1014003,697707,316296,81667,28265,0.001982,0.003171,28048,26573
Aipysurus laevis,Broome,ALA-KLS1170-2892511,1399095,193075110,1242013,100816143,1034390,679251,355139,83999,28343,0.002296,0.002465,28112,26606
Aipysurus laevis,Dampier Peninsula,ALA-KLS1366-3593364,2163087,175971215,2022715,168622815,1683614,1140160,543454,122760,46022,0.002463,0.001197,45658,42029
